,bsz,lr,model,acc
365,8,0.01,CNN,18.38
366,8,0.01,CNN,20.82
367,8,0.01,CNN,10.62
368,8,0.01,CNN,25.54
369,8,0.01,CNN,15.0
370,128,0.1,MLP,13.68
371,128,0.1,MLP,14.1
372,128,0.1,MLP,19.16
373,128,0.1,MLP,15.61
374,128,0.1,MLP,30.63
375,128,0.1,MLP,21.02
376,128,0.1,MLP,16.81
377,128,0.1,MLP,16.61
378,128,0.1,MLP,22.27
379,128,0.1,MLP,22.08
380,128,0.01,CNN,9.34
381,128,0.01,CNN,11.19
382,128,0.01,CNN,20.12
383,128,0.01,CNN,13.12
384,128,0.01,CNN,26.78
385,128,0.01,CNN,20.38
386,128,0.01,CNN,18.82
387,128,0.01,CNN,16.84
388,128,0.01,CNN,12.68
389,128,0.01,CNN,12.68
390,16,0.001,CNN,24.87
391,16,0.001,CNN,59.22
392,16,0.001,CNN,48.53
393,16,0.001,CNN,41.67
394,16,0.001,CNN,50.31
395,16,0.001,CNN,43.71
396,16,0.001,CNN,31.01
397,16,0.001,CNN,38.66
398,16,0.001,CNN,23.79
399,16,0.001,CNN,15.37
400,32,0.1,CNN,10.32
401,32,0.1,CNN,9.8
402,32,0.1,CNN,10.32
403,32,0.1,CNN,11.35
404,32,0.1,CNN,11.35
405,32,0.1,CNN,10.32
406,32,0.1,CNN,10.28
407,32,0.1,CNN,11.35
408,32,0.1,CNN,10.32
409,32,0.1,CNN,10.31
410,16,0.1,CNN,11.25
411,16,0.1,CNN,11.13
412,16,0.1,CNN,7.96
413,16,0.1,CNN,8.26
414,16,0.1,CNN,5.86
415,16,0.1,CNN,9.58
416,16,0.1,CNN,8.12
417,16,0.1,CNN,10.37
418,16,0.1,CNN,10.31
419,16,0.1,CNN,9.8
420,512,0.1,CNN,9.1
421,512,0.1,CNN,9.85
422,512,0.1,CNN,11.86
423,512,0.1,CNN,9.8
424,512,0.1,CNN,13.02
425,512,0.1,CNN,7.2
426,512,0.1,CNN,10.71
427,512,0.1,CNN,10.09
428,512,0.1,CNN,9.84
429,512,0.1,CNN,10.19
430,8,0.1,CNN,11.35
431,8,0.1,CNN,12.65
432,8,0.1,CNN,10.29
433,8,0.1,CNN,9.58
434,8,0.1,CNN,15.51
435,8,0.1,CNN,10.26
436,8,0.1,CNN,15.12
437,8,0.1,CNN,9.9
438,8,0.1,CNN,11.35
439,8,0.1,CNN,9.14
440,32,0.01,MLP,21.98
441,32,0.01,MLP,45.24
442,32,0.01,MLP,42.91
443,32,0.01,MLP,45.71
444,32,0.01,MLP,38.15
445,32,0.01,MLP,32.08
446,32,0.01,MLP,34.06
447,32,0.01,MLP,26.3
448,32,0.01,MLP,26.41
449,32,0.01,MLP,34.44
450,64,0.1,MLP,21.91
451,64,0.1,MLP,10.21
452,64,0.1,MLP,25.86
453,64,0.1,MLP,22.53
454,64,0.1,MLP,20.05
455,64,0.1,MLP,10.66
456,64,0.1,MLP,29.6
457,64,0.1,MLP,25.95
458,64,0.1,MLP,16.71
459,64,0.1,MLP,17.75
460,128,0.01,MLP,33.64
461,128,0.01,MLP,52.74
462,128,0.01,MLP,50.08
463,128,0.01,MLP,32.77
